code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMS23,S2-3,tree 2,44,S2-3-44,44,17,3,Scripps,2,Grenadier,Dec,0,0,0,0,0,0,4,5,0,0,0,4,2,0,0,0,12,34,9,0,1,almost dead,0,,,,,,,,
HMS24,S2-4,tree 1,8,S2-4-8,8,17,4,Scripps,2,Gala,Dec,0,0,0,0,0,0,1,3,0,0,0,3,2,0,0,0,5,5,2,0,2,dead,0,,,,,,,,
HMS24,S2-4,tree 2,9,S2-4-9,9,17,4,Scripps,2,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,1,0,2,dead,0,,,,,,,,
HMS25,S2-5,tree 1,67,S2-5-67,67,17,5,Scripps,2,Braeburn,Dec,0,0,0,0,0,0,2,13,0,0,0,5,7,0,0,0,5,7,6,0,1,almost dead,0,,,,,,,,
HMS25,S2-5,tree 2,68,S2-5-68,68,17,5,Scripps,2,Braeburn,Dec,0,0,0,0,0,0,2,14,2,0,0,2,9,2,0,0,6,17,4,0,1,almost dead,0,,,,,,,,
HMS26,S2-6,tree 1,34,S2-6-34,34,17,6,Scripps,2,Jazz,Dec,0,0,0,0,0,0,1,8,0,0,0,4,4,0,0,0,18,31,13,0,1,almost dead,0,,,,,,,,
HMS26,S2-6,tree 2,35,S2-6-35,35,17,6,Scripps,2,Jazz,Dec,0,0,0,0,0,0,2,7,0,0,0,3,5,2,0,0,9,22,22,2,1,almost dead,0,,,,,,,,
HMS27,S2-7,tree 1,81,S2-7-81,81,17,7,Scripps,2,Kanzi,Dec,0,0,0,0,0,0,2,8,0,0,0,3,5,2,0,0,10,13,7,0,1,almost dead,0,,,,,,,,
HMS27,S2-7,tree 2,83,S2-7-83,83,17,7,Scripps,2,Kanzi,Dec,0,0,0,0,0,0,1,3,0,0,0,2,3,0,0,0,6,6,5,0,1,almost dead,0,,,,,,,,
HMS28,S2-8,tree 1,20,S2-8-20,20,17,8,Scripps,2,Rubens,Dec,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,11,37,31,6,2,dead,0,,,,,,,,
