ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A1-5-58,58,1,5,Avalon,1,Braeburn,April,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"nearly dead, main trunk dead"
A1-5-59,59,1,5,Avalon,1,Braeburn,April,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,5,6,11,0,1,"nearly dead, top broken"
A1-5-60,60,1,5,Avalon,1,Braeburn,April,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,part uprooted
A1-5-61,61,1,5,Avalon,1,Braeburn,April,0,3,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,2,0,0,0,snapped
A1-5-62,62,1,5,Avalon,1,Braeburn,April,0,0,0,0,0,0,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,too dead
A1-7 (GD)-63,63,1,7 (GD),Avalon,1,Golden Delicious,April,0,0,0,0,0,0,2,2,0,0,0,3,3,1,0,0,4,7,7,0,2,too dead
A1-5-64,64,1,5,Avalon,1,Braeburn,April,0,0,0,0,0,0,2,2,0,0,0,2,3,1,0,0,8,NA,NA,NA,2,too dead
A1-7 (GD)-65,65,1,7 (GD),Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,2,2,1,0,0,1,2,2,0,0,8,NA,NA,NA,2,too dead
A1-7 (GD)-66,66,1,7 (GD),Avalon,1,Golden Delicious,Dec,0,1,0,0,0,0,5,5,1,0,0,11,7,1,0,NA,NA,NA,NA,NA,2,too dead
A1-7-67,67,1,7,Avalon,1,Kanzi,Dec,0,3,0,0,0,0,0,0,0,0,1,2,1,0,0,1,NA,NA,NA,NA,2,too dead
A1-7-68,68,1,7,Avalon,1,Kanzi,Dec,0,0,0,0,0,1,3,6,2,0,0,5,6,2,0,0,12,NA,NA,NA,2,too dead
A1-7-69,69,1,7,Avalon,1,Kanzi,Dec,0,1,0,0,0,2,3,4,1,0,1,7,8,0,0,NA,NA,NA,NA,NA,2,too dead
A1-7-70,70,1,7,Avalon,1,Kanzi,Dec,0,1,0,0,0,0,3,6,1,0,0,6,5,0,0,0,7,NA,NA,NA,2,too dead
A1-7-71,71,1,7,Avalon,1,Kanzi,Dec,NA,1,0,0,0,0,3,6,0,0,0,8,5,0,0,0,9,NA,NA,NA,2,too dead
A1-7-72,72,1,7,Avalon,1,Kanzi,Dec,0,1,0,0,0,0,10,12,0,0,0,8,4,0,0,NA,NA,NA,NA,NA,2,too dead
A1-7-73,73,1,7,Avalon,1,Kanzi,April,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,7,NA,NA,NA,2,too dead
A1-7-74,74,1,7,Avalon,1,Kanzi,April,0,1,0,0,0,0,1,3,3,0,0,4,3,0,0,0,6,NA,NA,NA,2,too dead
A1-7-75,75,1,7,Avalon,1,Kanzi,April,0,1,0,0,0,1,2,8,3,0,0,5,8,0,0,0,8,NA,NA,NA,2,too dead
A1-7-76,76,1,7,Avalon,1,Kanzi,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-7-77,77,1,7,Avalon,1,Kanzi,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-7-78,78,1,7,Avalon,1,Kanzi,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-7 (GD)-79,79,1,7 (GD),Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-7 (GD)-80,80,1,7 (GD),Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,top broken
A1-2-81,81,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-82,82,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,top broken
A1-2-83,83,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-84,84,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-85,85,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-86,86,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-87,87,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,top broken
A1-2-88,88,1,2,Avalon,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,top broken
A1-2-89,89,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,top broken
A1-2-90,90,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,top broken
A1-2-91,91,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,top broken
A1-2-92,92,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-93,93,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,top broken
A1-2-94,94,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,top broken
A1-2-95,95,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-2-96,96,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-8-97,97,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-8-98,98,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,top broken
A1-8-99,99,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,top broken
A1-8-100,100,1,8,Avalon,1,Rubens,Dec,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,3,6,1,0,0,top broken
