Well,Target,Content,Replicate,Sample,Dilution,Cq,PlateID,Concentration,Efficiency,TCN,CqAdjusted,AdjustedTCN,mg,TCN_mg,AdjustedTCN_mg
F12,ITS,Unkn,50,S5-3,200,21.5312109407512,plate 2,0.005,1.9208356175467722,3.867516446776116e7,20.276674705456646,3.395395056966838e7,157.4,1.2285630390013075e7,1.078588010472312e7
F19,16S,Unkn,94,S5-3,100,15.1294878028169,plate 2,0.01,1.873178372033998,1.0352081679738818e8,13.69957397405289,2.8008549694283783e8,157.4,3.2884630494723056e7,8.897252126519626e7
F20,16S,Unkn,94,S5-3,100,15.267341029724,plate 2,0.01,1.873178372033998,9.404910377060266e7,13.824398456162859,2.5677703633080763e8,157.4,2.987582711899703e7,8.156830887255642e7
F21,16S,Unkn,94,S5-3,100,15.1854064278385,plate 2,0.01,1.873178372033998,9.956884983000448e7,13.750207633962257,2.703859162881315e8,157.4,3.162924073380066e7,8.58913330013124e7
F22,16S,Unkn,106,S5-3,200,16.2880014413531,plate 2,0.005,1.873178372033998,9.243554970044348e7,14.74859450256813,2.698992795139642e8,157.4,2.936326229366057e7,8.573674698664682e7
F23,16S,Unkn,106,S5-3,200,16.293834158141,plate 2,0.005,1.873178372033998,9.206102331649493e7,14.753875959293364,2.6890887817246884e8,157.4,2.924428949062736e7,8.542213410815401e7
F24,16S,Unkn,106,S5-3,200,16.313529214725,plate 2,0.005,1.873178372033998,9.080755505808727e7,14.771709602316324,2.65591413856809e8,157.4,2.8846110247168764e7,8.43683017334209e7
H01,ITS,Unkn,8,S2-3,100,18.9547208735122,plate 2,0.01,1.9949860041468463,1.0234011203751832e8,18.886078725667176,4.451141680637586e7,178.3,2.8698853628019717e7,1.2482169603582686e7
H02,ITS,Unkn,8,S2-3,100,18.8448363626976,plate 2,0.01,1.9949860041468463,1.0987743402038656e8,18.77659214784708,4.80208852878649e7,178.3,3.081251655086555e7,1.3466316681958748e7
H03,ITS,Unkn,8,S2-3,100,18.8473098548885,plate 2,0.01,1.9949860041468463,1.0970181006608768e8,18.77905668259578,4.793892194315799e7,178.3,3.0763266984320715e7,1.3443332008737518e7
H04,ITS,Unkn,24,S2-3,200,19.9066242720557,plate 2,0.005,1.9949860041468463,1.1059114047969282e8,19.83453492526467,4.6130445436577484e7,178.3,3.1012658575348515e7,1.2936187727587627e7
H05,ITS,Unkn,24,S2-3,200,19.7393368353965,plate 2,0.005,1.9949860041468463,1.2322685992404579e8,19.667853299107055,5.178021118706894e7,178.3,3.455604596860509e7,1.4520530338493813e7
H06,ITS,Unkn,24,S2-3,200,20.0118095939997,plate 2,0.005,1.9949860041468463,1.0331837093533103e8,19.939339331738154,4.2898131696203806e7,178.3,2.8973183100204997e7,1.2029762113349356e7
H07,ITS,Unkn,40,S5-5,100,20.4676582082907,plate 2,0.01,2.0677655670218167,3.846945350154901e7,20.4676582082907,1.4871971803941794e7,148.9,1.2917882304079587e7,4.99394620683069e6
H08,ITS,Unkn,40,S5-5,100,20.4695063152042,plate 2,0.01,2.0677655670218167,3.842350243340031e7,20.4695063152042,1.4852932855053017e7,148.9,1.2902452126729451e7,4.987553007069515e6
H09,ITS,Unkn,40,S5-5,100,20.4014656382804,plate 2,0.01,2.0677655670218167,4.015199579760022e7,20.4014656382804,1.5570211160719357e7,148.9,1.3482873001208937e7,5.228412075459824e6
H10,ITS,Unkn,52,S5-5,200,21.4407651560017,plate 2,0.005,2.0677655670218167,4.100484253254369e7,21.4407651560017,1.5151797895315537e7,148.9,1.3769255383661412e7,5.087910643154982e6
H11,ITS,Unkn,52,S5-5,200,21.2272053527531,plate 2,0.005,2.0677655670218167,4.7077830710843936e7,21.2272053527531,1.7569203590614688e7,148.9,1.580853952681126e7,5.899665409877329e6
H12,ITS,Unkn,52,S5-5,200,21.5330567007382,plate 2,0.005,2.0677655670218167,3.862902631225463e7,21.5330567007382,1.421286547589807e7,148.9,1.2971466189474354e7,4.772621046305598e6
H13,16S,Unkn,64,S2-3,100,14.6310848922216,plate 2,0.01,1.9245533025554928,1.4645185710682032e8,13.819405393916194,2.5767102476212275e8,178.3,4.106894478598438e7,7.225771866576633e7
H14,16S,Unkn,64,S2-3,100,14.624599868086,plate 2,0.01,1.9245533025554928,1.471144410035118e8,13.813280135387565,2.5877198082318306e8,178.3,4.125475070205041e7,7.256645564306872e7
H15,16S,Unkn,64,S2-3,100,14.6733925538136,plate 2,0.01,1.9245533025554928,1.4220186021633896e8,13.859365979964005,2.5060255819429365e8,178.3,3.987713410441361e7,7.027553510776602e7
H16,16S,Unkn,80,S2-3,200,15.6931905085543,plate 2,0.005,1.9245533025554928,1.3984610190261322e8,14.822589244695433,2.5634987834277353e8,178.3,3.921651763954381e7,7.188723453246593e7
H17,16S,Unkn,80,S2-3,200,15.7690401817771,plate 2,0.005,1.9245533025554928,1.3265420159408127e8,14.894231053281972,2.4387978186156204e8,178.3,3.719972002077433e7,6.839029216532867e7
H18,16S,Unkn,80,S2-3,200,15.6430509122887,plate 2,0.005,1.9245533025554928,1.4481300463802275e8,14.775231211290134,2.6494116919286716e8,178.3,4.060936753730307e7,7.429645799014783e7
H19,16S,Unkn,96,S5-5,100,15.4615427225267,plate 2,0.01,1.869602048594774,8.215755235014646e7,13.957617325771167,2.3403678284670758e8,148.9,2.7588163985945754e7,7.858857718156736e7
H20,16S,Unkn,96,S5-5,100,15.257589744498,plate 2,0.01,1.869602048594774,9.468964203420688e7,13.773502605082365,2.6603697261664298e8,148.9,3.1796387519881424e7,8.93341076617337e7
H21,16S,Unkn,96,S5-5,100,15.3709282050965,plate 2,0.01,1.869602048594774,8.750648910388348e7,13.875816771897107,2.4774929416162068e8,148.9,2.9384314675582092e7,8.319318138402306e7
H22,16S,Unkn,108,S5-5,200,16.4306014506651,plate 2,0.005,1.869602048594774,8.370107722230928e7,14.83241689372424,2.546022383748907e8,148.9,2.8106473210983638e7,8.54943715160815e7
H23,16S,Unkn,108,S5-5,200,16.5107972358164,plate 2,0.005,1.869602048594774,7.915673320097005e7,14.90481213269679,2.420901601498072e8,148.9,2.658050141066825e7,8.12928677467452e7
H24,16S,Unkn,108,S5-5,200,16.4719102940693,plate 2,0.005,1.869602048594774,8.132861651087055e7,14.869707676329392,2.48078549771759e8,148.9,2.7309810782696623e7,8.330374404693049e7
I07,ITS,Unkn,41,S5-6,100,20.5724538674695,plate 2,0.01,1.9229165719855117,3.5948657152018845e7,19.405916961286863,3.1044489050994515e7,159.6,1.1262110636597382e7,9.725717121238884e6
I08,ITS,Unkn,41,S5-6,100,20.6143245615025,plate 2,0.01,1.9229165719855117,3.498828817649606e7,19.445413426645366,3.020611667383283e7,159.6,1.0961243163062675e7,9.463069133406274e6
I09,ITS,Unkn,41,S5-6,100,20.5211018212495,plate 2,0.01,1.9229165719855117,3.7162559826678164e7,19.357476772714453,3.2104541069859833e7,159.6,1.1642405960738773e7,1.005781361837714e7
I10,ITS,Unkn,53,S5-6,200,21.612606587408,plate 2,0.005,1.9229165719855117,3.6691971662807725e7,20.38708903926154,3.1452291035664685e7,159.6,1.1494978591105176e7,9.853474635233296e6
I11,ITS,Unkn,53,S5-6,200,21.6552339664712,plate 2,0.005,1.9229165719855117,3.5694273456371516e7,20.427299282711683,3.0587768613518257e7,159.6,1.118241649635699e7,9.582634277418e6
I12,ITS,Unkn,53,S5-6,200,21.6203769989047,plate 2,0.005,1.9229165719855117,3.650804854512997e7,20.394418838673484,3.1292898837899696e7,159.6,1.143735856677004e7,9.803539736184115e6
I19,16S,Unkn,97,S5-6,100,15.7154468592466,plate 2,0.01,1.9091762388182705,6.88481500233267e7,14.661730644367772,1.4336088480352265e8,159.6,2.1568969305553474e7,4.491255789584043e7
I20,16S,Unkn,97,S5-6,100,15.7316162564906,plate 2,0.01,1.9091762388182705,6.807760466175386e7,14.676815888153495,1.4186341289853868e8,159.6,2.132757038275497e7,4.444342509352715e7
I21,16S,Unkn,97,S5-6,100,15.7479825164008,plate 2,0.01,1.9091762388182705,6.730645954038683e7,14.692084795019982,1.4036363718928656e8,159.6,2.1085983565284092e7,4.397357054802211e7
I22,16S,Unkn,109,S5-6,200,16.7830594574877,plate 2,0.005,1.9091762388182705,6.5491207312531516e7,15.657760123398127,1.433378778082662e8,159.6,2.051729552397604e7,4.490535019055958e7
I23,16S,Unkn,109,S5-6,200,16.8531062681191,plate 2,0.005,1.9091762388182705,6.237461050162334e7,15.723110315420847,1.3696374047194237e8,159.6,1.9540918076949667e7,4.2908439997475676e7
I24,16S,Unkn,109,S5-6,200,16.7744853300184,plate 2,0.005,1.9091762388182705,6.588324098673351e7,15.649760888722126,1.4413821476243964e8,159.6,2.0640113091081925e7,4.5156082319060035e7
J07,ITS,Unkn,42,S5-7,100,21.1957256232393,plate 2,0.01,2.0164149985349997,2.402304058226324e7,21.1957256232393,8.97838909890514e6,131.0,9.169099458879098e6,3.4268660682844045e6
J08,ITS,Unkn,42,S5-7,100,21.2040716873528,plate 2,0.01,2.0164149985349997,2.389372520415957e7,21.2040716873528,8.926598611523544e6,131.0,9.119742444335712e6,3.4070987066883757e6
J09,ITS,Unkn,42,S5-7,100,21.4280667124139,plate 2,0.01,2.0164149985349997,2.067148565803105e7,21.4280667124139,7.6428755074130995e6,131.0,7.8898800221492555e6,2.9171280562645416e6
J10,ITS,Unkn,54,S5-7,200,22.2262423647325,plate 2,0.005,2.0164149985349997,2.467304513633925e7,22.2262423647325,8.790467407926727e6,131.0,9.417192800129484e6,3.355140232033102e6
J11,ITS,Unkn,54,S5-7,200,22.4286163567962,plate 2,0.005,2.0164149985349997,2.1646274038935434e7,22.4286163567962,7.63996424526967e6,131.0,8.261936656082226e6,2.9160168875075076e6
