Target,Sample,N,Efficiency,MeanTCN,MeanAdjustedTCN,MeanAdjustedTCN_mg,StdTCN,StdAdjustedTCN,StdAdjustedTCN_mg,MedTCN,MedAdjustedTCN,MedAdjustedTCN_mg
16S,A2-7,6,2.0039479743257025,3.303207401568972e7,3.303207401568972e7,1.2037927848283425e7,1.2142757538089564e6,1.2142757538089564e6,442520.31844349776,3.2744041931846187e7,3.2744041931846187e7,1.1932959887699047e7
ITS,A2-8,6,1.887817087687476,5.548931939312408e7,7.064832360282858e7,2.1778151542178974e7,2.0729730150513148e6,2.310148969901322e6,712129.7687735267,5.4962837920149244e7,7.018130038532867e7,2.1634186308670983e7
16S,A2-8,6,2.0137163821933153,3.013047852561416e7,3.013047852561416e7,9.28806366387613e6,722952.8787253189,722952.8787253189,222858.4706304929,2.997264975757304e7,2.997264975757304e7,9.239411145984292e6
ITS,A3-2,6,1.8699974239332997,1.0227030285680531e8,1.5621096054825738e8,5.7770325646544896e7,4.0574795024207123e6,4.1509677518962836e6,1.5351212100208146e6,1.0301573625802082e8,1.5716970639987126e8,5.812489142007074e7
16S,A3-2,6,1.945759643221123,2.4901910755143907e7,4.1316390528116025e7,1.527973022489498e7,1.3165998004703587e6,988443.6383575087,365548.68282452296,2.4984357206544347e7,4.117233813683419e7,1.5226456411551105e7
ITS,A3-3,6,1.885729072633064,4.79124599309885e7,6.262815304093361e7,2.3247272843702156e7,3.733140857176149e6,4.574560088221948e6,1.6980549696443754e6,4.716400451464878e7,6.167565134965354e7,2.2893708741519503e7
16S,A3-3,6,1.9410233243258797,5.460134906741617e7,9.158664723920931e7,3.399652829963227e7,3.18279252905488e6,2.5354448880341547e6,941145.0957810532,5.41651843391179e7,9.10765405879479e7,3.380717913435335e7
ITS,W1-2,6,2.0197104797644423,4.139709858782936e7,1.977281077867345e7,7.092112904832657e6,2.563356417984692e6,617045.9268713935,221322.06846176233,4.082475623428612e7,1.9579780754869856e7,7.022876884817021e6
ITS,W4-4,6,1.9257165889327366,3.641556890540847e7,3.965377215173196e7,1.5345887055623828e7,1.4138312187773823e6,1.5255919138551252e6,590399.347467154,3.626144628429747e7,3.9300446000965744e7,1.5209150929166313e7
16S,W1-2,6,1.9614020148665143,6.0834769877070725e7,7.68877965028132e7,2.757811926212812e7,1.6099414892427775e6,1.4330900195314728e6,514020.8104488781,6.024373389531664e7,7.705969630571118e7,2.7639776293296687e7
16S,W4-4,6,1.9619080536015465,8.831932032303731e7,1.1032511464313607e8,4.269547780307124e7,1.8062906737785544e6,1.1128543382795977e6,430671.1835447368,8.822506404253186e7,1.106295031015352e8,4.281327519409257e7
ITS,W4-5,5,1.9273264148782643,4.58993899784179e7,4.898488884029273e7,1.898639102336927e7,2.0927018842939099e6,2.204884918529543e6,854606.5575695904,4.612838783427308e7,4.944938803412193e7,1.9166429470589895e7
16S,W4-5,6,1.901857864557725,4.932485699158186e7,1.0655924754067862e8,4.130203393049558e7,3.0922668677987442e6,1.3603700671026951e6,527275.219807244,4.931551007146318e7,1.0617042816788122e8,4.115132874724078e7
ITS,W1-4,6,1.8876188810285501,3.0079776872661036e7,5.108229436961186e7,1.8821773901846666e7,1.0530954083417272e6,559950.0658888198,206319.11049698613,3.0132981116219394e7,5.08829282602624e7,1.8748315497517467e7
ITS,W4-6,6,1.8525861006622604,1.6404507280496186e7,4.387101174981299e7,1.633321360752531e7,1.494715955108649e6,2.962430543359686e6,1.1029153177065104e6,1.6940271320396453e7,4.298218820860027e7,1.6002303875130404e7
16S,W1-4,6,1.9156313661682376,5.152680238947009e7,9.805828820189816e7,3.613054097343336e7,3.5902722538552303e6,4.163886060418936e6,1.5342247827630574e6,4.9837126233667284e7,9.823783008477357e7,3.6196694946489885e7
16S,W4-6,6,1.9568018334459136,4.573608587979474e7,6.055821620309677e7,2.2545873493334606e7,1.802122318418398e6,1.919659941649917e6,714690.9685963946,4.507015252002411e7,6.0619167802689135e7,2.2568565823785976e7
ITS,W4-7,6,1.8544864425391638,1.5464009973800002e7,4.054219271819384e7,1.5207124050335271e7,974543.56966143,868566.8449071607,325794.01534402114,1.5564070389415052e7,4.0758793696532145e7,1.5288369728631709e7
16S,W4-7,6,1.9946294498525627,3.650252810994979e7,3.460644984824809e7,1.2980663859057793e7,977152.970608483,924328.1967086114,346709.75120353,3.629190921315257e7,3.428512309136533e7,1.2860136193310324e7
ITS,W1-6,6,1.87438222924282,6.234425789035269e7,1.1958180035766387e8,4.578169998379168e7,4.974403593581732e6,7.962631735587012e6,3.0484807563503115e6,6.374949852411959e7,1.177159616805639e8,4.5067366646463975e7
ITS,W4-8,6,1.820688492448944,2.9079657769854143e7,1.1014674841347174e8,3.999518824018582e7,2.7001351190654985e6,3.2332861458975263e6,1.1740327327151508e6,2.9506225245976105e7,1.0918806578780985e8,3.9647082711623035e7
16S,W1-6,6,1.9913678189310413,5.358718970222951e7,5.233994632751065e7,2.003826429077743e7,1.928014767156832e6,1.880888655571591e6,720095.1973857541,5.344190275947036e7,5.21979781517531e7,1.998391200296826e7
16S,W4-8,6,1.8408887424146672,4.159499884061184e7,1.6042331189479116e8,5.825102102207377e7,4.647527099496561e6,1.9430841180443761e6,705549.7886871375,4.2014268210551925e7,1.602672211370527e8,5.819434318701987e7
ITS,W1-7,6,1.9632252300087427,2.5754094567906257e7,1.8225088310525697e7,6.341366844302609e6,998581.3260738108,634702.5141607757,220842.90680611544,2.6092555697430998e7,1.8182475854228802e7,6.326539963197218e6
